if(this.runningState== STATE_NEW){stopTime = System.currentTimeMillis(); }
if(this.runningState>= STOPP){stopTime = System.currentTimeMillis(); }
if(this.runningState === STATE_ENDED){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_ING){stopTime = System.currentTimeMillis(); }
if(this.runningState==STATE_DOWN){stopTime = System.currentTimeMillis(); }
if(this.runningState === STATE_UP){stopTime = System.currentTimeMillis(); }
if(this.runningState==STATE_ENDED){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_NO){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_WARNING){stopTime = System.currentTimeMillis(); }
if(this.runningState>= RUNNING){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_OK){stopTime = System.currentTimeMillis(); }
if(this.runningState<STATE_DOWN){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_ON){stopTime = System.currentTimeMillis(); }
if(this.runningState === STATE_END){stopTime = System.currentTimeMillis(); }
if(this.runningState= STATE_DOWN){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_OFF){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_ERROR){stopTime = System.currentTimeMillis(); }
if(this.runningState==STATE_NING){stopTime = System.currentTimeMillis(); }
if(this.runningState>= STOPED){stopTime = System.currentTimeMillis(); }
if(this.runningState>= STARTED){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STARTING){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STOPP){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_SET){stopTime = System.currentTimeMillis(); }
if(this.runningState<STATE_UP){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_STATE){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_READ){stopTime = System.currentTimeMillis(); }
if(this.runningState= STATE_NEW){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_WARNING){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STARTING){stopTime = System.currentTimeMillis(); }
if(this.runningState!== STARTED){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STOPP){stopTime = System.currentTimeMillis(); }
if(this.runningState= STATE_UP){stopTime = System.currentTimeMillis(); }
if(this.runningState<STATE_NEW){stopTime = System.currentTimeMillis(); }
if(this.runningState>= STOPING){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_TIME){stopTime = System.currentTimeMillis(); }
if(this.runningState= STATE_ENDED){stopTime = System.currentTimeMillis(); }
if(this.runningState!== STARTED){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_IVE){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_KNOWN){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STOPED){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_DATA){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_NAME){stopTime = System.currentTimeMillis(); }
if(this.runningState<STATE_OFF){stopTime = System.currentTimeMillis(); }
if(this.runningState=== STATE_DOWN){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_NAME){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_running){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_ON){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_NO){stopTime = System.currentTimeMillis(); }
if(this.runningState<STATE_OK){stopTime = System.currentTimeMillis(); }
if(this.runningState==STATE_Running){stopTime = System.currentTimeMillis(); }
if(this.runningState!== STATE_){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STOPED){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_OK){stopTime = System.currentTimeMillis(); }
if(this.currentTimeMillis > 0){stopTime = System.currentTimeMillis(); }
if(this.runningState=== STATE_UP){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_NOW){stopTime = System.currentTimeMillis(); }
if(this.runningState>= stopTime){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_SET){stopTime = System.currentTimeMillis(); }
if(this.runningState=== STATE_ENDED){stopTime = System.currentTimeMillis(); }
if(this.runningState!= UNKNOWN){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_Running){stopTime = System.currentTimeMillis(); }
if(this.runningState === STATE_NING){stopTime = System.currentTimeMillis(); }
if(this.runningState!== STATE_){stopTime = System.currentTimeMillis(); }
if(this.runningState<STATE_STATE){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_UN){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STOPING){stopTime = System.currentTimeMillis(); }
if(this.runningState==STATE_END){stopTime = System.currentTimeMillis(); }
if(this.runningState<STATE_ENDED){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_NULL){stopTime = System.currentTimeMillis(); }
if(this.runningState= STATE_ERROR){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_GREEN){stopTime = System.currentTimeMillis(); }
if(this.runningState === STATE_OFF){stopTime = System.currentTimeMillis(); }
if(this.runningState== state_running){stopTime = System.currentTimeMillis(); }
if(this.runningState=== STATE_NEW){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_NO){stopTime = System.currentTimeMillis(); }
if(this.runningState < STATE_DOWN){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_NULL){stopTime = System.currentTimeMillis(); }
if(this.runningState!= UNKNOWN){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_ING){stopTime = System.currentTimeMillis(); }
if(this.runningState= STATE_END){stopTime = System.currentTimeMillis(); }
if(this.runningState!= PING){stopTime = System.currentTimeMillis(); }
if(this.runningState < STATE_NEW){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_Starting){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_DEBUG){stopTime = System.currentTimeMillis(); }
if(this.runningState.isEmpty()){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_ONE){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STOPING){stopTime = System.currentTimeMillis(); }
if(this.runningState==STATE_ERROR){stopTime = System.currentTimeMillis(); }
if(this.runningState!== STARTING){stopTime = System.currentTimeMillis(); }
if(this.runningState === STATE_FREE){stopTime = System.currentTimeMillis(); }
if(this.runningState== State_NEW){stopTime = System.currentTimeMillis(); }
if(this.runningState==STATE_OFF){stopTime = System.currentTimeMillis(); }
if(this.runningState<STATE_NING){stopTime = System.currentTimeMillis(); }
if(this.runningState!= PING){stopTime = System.currentTimeMillis(); }
if(this.runningState==STATE_FREE){stopTime = System.currentTimeMillis(); }
if(this.runningState > STATE_DOWN){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STOP){stopTime = System.currentTimeMillis(); }
if(this.runningState>= STARTING){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_IVE){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_NOT){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_UPDATE){stopTime = System.currentTimeMillis(); }
if(this.runningState!== STARTING){stopTime = System.currentTimeMillis(); }
if(this.runningState==STATE_OK){stopTime = System.currentTimeMillis(); }
if(this.runningState>= STOP){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STOP){stopTime = System.currentTimeMillis(); }
if(this.currentTimeMillis!= 0){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_TIME){stopTime = System.currentTimeMillis(); }
if(this.runningState!= CONTINUE){stopTime = System.currentTimeMillis(); }
if(this.runningState > STATE_ERROR){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_WARNING){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_ED){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_IN){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_ING){stopTime = System.currentTimeMillis(); }
if(this.runningState<STATE_END){stopTime = System.currentTimeMillis(); }
if(this.runningState!== STOPED){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_FINE){stopTime = System.currentTimeMillis(); }
if(this.runningState< STATE_NEW){stopTime = System.currentTimeMillis(); }
if(this.runningState=== STATE_NING){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_PASS){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_OUT){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_ALL){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_NOT){stopTime = System.currentTimeMillis(); }
if(this.runningState=== STATE_END){stopTime = System.currentTimeMillis(); }
if(this.runningState!= CONTINUE){stopTime = System.currentTimeMillis(); }
if(this.runningState < STATE_ENDED){stopTime = System.currentTimeMillis(); }
if(this.runningState!== STOPED){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_TRY){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_READ){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_READ){stopTime = System.currentTimeMillis(); }
if(this.runningState === STATE_WARNING){stopTime = System.currentTimeMillis(); }
if(this.currentTimeMillis < 0){stopTime = System.currentTimeMillis(); }
if(this.runningState < STATE_UP){stopTime = System.currentTimeMillis(); }
if(this.runningState== State_NING){stopTime = System.currentTimeMillis(); }
if(this.runningState< STATE_DOWN){stopTime = System.currentTimeMillis(); }
if(this.runningState.isZero()){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATUS){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_running){stopTime = System.currentTimeMillis(); }
if(this.runningState >= STATE_DOWN){stopTime = System.currentTimeMillis(); }
if(this.runningState<STATE_Running){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_ DEAD){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_DEBUG){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATING){stopTime = System.currentTimeMillis(); }
if(this.runningState==STATE_running){stopTime = System.currentTimeMillis(); }
if(this.runningState== State_UP){stopTime = System.currentTimeMillis(); }
if(this.runningState==STATE_STATE){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_KNOWN){stopTime = System.currentTimeMillis(); }
if(this.runningState === STATE_STATE){stopTime = System.currentTimeMillis(); }
if(this.runningState < STATE_STATE){stopTime = System.currentTimeMillis(); }
if(this.runningState>= STATE_){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_DATA){stopTime = System.currentTimeMillis(); }
if(this.runningState<STATE_ERROR){stopTime = System.currentTimeMillis(); }
if(this.runningState== State_Running){stopTime = System.currentTimeMillis(); }
if(this.runningState==state_running){stopTime = System.currentTimeMillis(); }
if(this.runningState== State_DOWN){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_GREEN){stopTime = System.currentTimeMillis(); }
if(this.runningState<STATE_FREE){stopTime = System.currentTimeMillis(); }
if(this.runningState< STATE_STATE){stopTime = System.currentTimeMillis(); }
if(this.stopTime.isZero()){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_NOW){stopTime = System.currentTimeMillis(); }
if(this.runningState>= stopState){stopTime = System.currentTimeMillis(); }
if(this.runningState===STATE_DOWN){stopTime = System.currentTimeMillis(); }
if(this.runningState!= PEND){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_started){stopTime = System.currentTimeMillis(); }
if(this.runningState~= RUNNING){stopTime = System.currentTimeMillis(); }
if(this.runningState < STATE_END){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_ST){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATUS){stopTime = System.currentTimeMillis(); }
if(this.runningState > STATE_NEW){stopTime = System.currentTimeMillis(); }
if(stopTime < System.currentTime()){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATING){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_KNOWN){stopTime = System.currentTimeMillis(); }
if(this.runningState!= INIT){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_WATCH){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_DEBUG){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_STAT){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_TIME){stopTime = System.currentTimeMillis(); }
if(this.runningState!== STOPP){stopTime = System.currentTimeMillis(); }
if(this.runningState< STATE_UP){stopTime = System.currentTimeMillis(); }
if(this.runningState<state_running){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_ONE){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_INFO){stopTime = System.currentTimeMillis(); }
if(this.runningState< STATE_ENDED){stopTime = System.currentTimeMillis(); }
if(this.runningState > STATE_ENDED){stopTime = System.currentTimeMillis(); }
if( this.runningState== STATE_NEW){stopTime = System.currentTimeMillis(); }
if(this.runningState!= DONE){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_CON){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_ON){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_ACT){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_TED){stopTime = System.currentTimeMillis(); }
if(this.runningState!= PEND){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_NOW){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_HOME){stopTime = System.currentTimeMillis(); }
if(this.runningState===STATE_UP){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_PASS){stopTime = System.currentTimeMillis(); }
if(this.runningState < STATE_OFF){stopTime = System.currentTimeMillis(); }
if(this.runningState= STATE_NING){stopTime = System.currentTimeMillis(); }
if(this.runningState!= INIT){stopTime = System.currentTimeMillis(); }
if(this.runningState!== STOPP){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_BUS){stopTime = System.currentTimeMillis(); }
if(this.runningState= STATE_FREE){stopTime = System.currentTimeMillis(); }
if(this.runningState=== STATE_ERROR){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_S){stopTime = System.currentTimeMillis(); }
if(this.runningState>= STOPSTATE){stopTime = System.currentTimeMillis(); }
if(this.runningState!= DONE){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_START){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_ACTIVE){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_UNKNOWN){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_UP){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_NONE){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_NEW){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_DOWN){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_ENDED){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_UP){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_NEW){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_STOP){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_DOWN){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_ENDED){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_ACTIVE){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_START){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_NONE){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_UNKNOWN){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_STOP){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_PING){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_UNKNOWN){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_END){stopTime = System.currentTimeMillis(); }
if(this.runningState!== STATE_UP){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_NING){stopTime = System.currentTimeMillis(); }
if(this.runningState!== STATE_NEW){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_COMPLETED){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_DONE){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_NONE){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_START){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_ACTIVE){stopTime = System.currentTimeMillis(); }
if(this.runningState!== STATE_ENDED){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_FREE){stopTime = System.currentTimeMillis(); }
if(this.runningState!== STATE_DOWN){stopTime = System.currentTimeMillis(); }
if(this.runningState<STATE_START){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_Running){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_STATE){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_INIT){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_END){stopTime = System.currentTimeMillis(); }
if(this.runningState!== STATE_UP){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_NING){stopTime = System.currentTimeMillis(); }
if(this.runningState!== STATE_NEW){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_FINISH){stopTime = System.currentTimeMillis(); }
if(this.runningState!== STATE_ENDED){stopTime = System.currentTimeMillis(); }
if(this.runningState==STATE_UNKNOWN){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_FREE){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_STOP){stopTime = System.currentTimeMillis(); }
if(this.runningState==STATE_START){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_STATING){stopTime = System.currentTimeMillis(); }
if(this.runningState!== STATE_DOWN){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_Running){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_STATE){stopTime = System.currentTimeMillis(); }
if(this.runningState==STATE_NONE){stopTime = System.currentTimeMillis(); }
if(this.runningState>= STATE_DOWN){stopTime = System.currentTimeMillis(); }
if(this.runningState==STATE_ACTIVE){stopTime = System.currentTimeMillis(); }
if(this.runningState<STATE_ACTIVE){stopTime = System.currentTimeMillis(); }
if(this.runningState>= STATE_NEW){stopTime = System.currentTimeMillis(); }
if(this.runningState<STATE_UNKNOWN){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_PING){stopTime = System.currentTimeMillis(); }
if(this.runningState!== STATE_NING){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_PEND){stopTime = System.currentTimeMillis(); }
if(this.runningState<STATE_NONE){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_OK){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_COMPLETE){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_COMPLETED){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_OFF){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_STopped){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_PENDED){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_ERROR){stopTime = System.currentTimeMillis(); }
if(this.runningState!== STATE_Running){stopTime = System.currentTimeMillis(); }
if(this.runningState>= STATE_UP){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_DONE){stopTime = System.currentTimeMillis(); }
if(this.runningState!== STATE_NING){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_PING){stopTime = System.currentTimeMillis(); }
if(this.runningState === STATE_STOP){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_FULL){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_CLOSED){stopTime = System.currentTimeMillis(); }
if(this.runningState === STATE_UNKNOWN){stopTime = System.currentTimeMillis(); }
if(this.runningState!== STATE_END){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_IGNORED){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_OK){stopTime = System.currentTimeMillis(); }
if(this.runningState === STATE_NONE){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_FINISH){stopTime = System.currentTimeMillis(); }
if(this.runningState==STATE_STOP){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_WORKING){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_OFF){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_ERROR){stopTime = System.currentTimeMillis(); }
if(this.runningState!== STATE_Running){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_ABORT){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_DONE){stopTime = System.currentTimeMillis(); }
if(this.runningState!== STATE_FREE){stopTime = System.currentTimeMillis(); }
if(this.runningState!== STATE_STATE){stopTime = System.currentTimeMillis(); }
if(this.runningState!== STATE_END){stopTime = System.currentTimeMillis(); }
if(this.runningState === STATE_START){stopTime = System.currentTimeMillis(); }
if(this.runningState === STATE_ACTIVE){stopTime = System.currentTimeMillis(); }
if(this.runningState>= STATE_ERROR){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_STATING){stopTime = System.currentTimeMillis(); }
if(this.runningState< STATE_START){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_PEND){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_STORED){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_REGULAR){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_DATA){stopTime = System.currentTimeMillis(); }
if(this.runningState<STATE_STOP){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_PLAYING){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_FINISH){stopTime = System.currentTimeMillis(); }
if(this.runningState>= STATE_END){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_NAME){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_ABORT){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_running){stopTime = System.currentTimeMillis(); }
if(this.runningState>= STATE_ENDED){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_ON){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_COMPLETED){stopTime = System.currentTimeMillis(); }
if(this.runningState!== STATE_FREE){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_CLOSED){stopTime = System.currentTimeMillis(); }
if(this.runningState!== STATE_STATE){stopTime = System.currentTimeMillis(); }
if(this.runningState=== STATE_START){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_INIT){stopTime = System.currentTimeMillis(); }
if(this.runningState < STATE_START){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_FINALLY){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_CLOSED){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_SET){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_INIT){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_IGNORED){stopTime = System.currentTimeMillis(); }
if(this.runningState= STATE_STOP){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_COMPLETE){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_KILL){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_DATA){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_FULL){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_READY){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_NAME){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_PED){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_running){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_CURRENT){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_ON){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_CREATED){stopTime = System.currentTimeMillis(); }
if(this.runningState= STATE_START){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_FOUND){stopTime = System.currentTimeMillis(); }
if(this.runningState < STATE_ACTIVE){stopTime = System.currentTimeMillis(); }
if(this.runningState= STATE_ACTIVE){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_NO){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_ING){stopTime = System.currentTimeMillis(); }
if(this.runningState < STATE_UNKNOWN){stopTime = System.currentTimeMillis(); }
if(this.runningState>STATE_UNKNOWN){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_STING){stopTime = System.currentTimeMillis(); }
if(this.runningState!== STATE_OK){stopTime = System.currentTimeMillis(); }
if(this.runningState< STATE_ACTIVE){stopTime = System.currentTimeMillis(); }
if(this.runningState < STATE_NONE){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_CLEAN){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_USED){stopTime = System.currentTimeMillis(); }
if(this.runningState>STATE_START){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_INSTANCE){stopTime = System.currentTimeMillis(); }
